dnn
0,0,ok
1,2,wrong
2,2,wrong
3,2,wrong
4,2,wrong
5,2,wrong
6,2,wrong
7,2,wrong
8,2,wrong
9,2,wrong
10,2,wrong
11,2,wrong
12,2,wrong
13,2,wrong
14,2,wrong
15,2,wrong
16,2,wrong
17,2,wrong
18,2,wrong
19,2,wrong
20,2,wrong
21,0,ok
22,0,ok
23,2,wrong
24,2,wrong
25,0,ok
26,2,wrong
27,2,wrong
28,0,ok
29,0,ok
30,2,wrong
31,2,wrong
32,2,wrong
33,2,wrong
34,2,wrong
35,0,ok
36,2,wrong
37,2,wrong
38,0,ok
39,2,wrong
40,0,ok
41,0,ok
42,0,ok
43,2,wrong
44,2,wrong
45,2,ok
46,2,ok
47,0,ok
48,0,ok
49,0,ok
50,0,ok
51,2,wrong
52,0,ok
53,0,ok
54,2,wrong
55,2,ok
56,0,ok
57,0,ok
58,2,wrong
59,2,wrong
60,2,ok
61,2,ok
62,0,ok
63,2,wrong
64,2,wrong
65,2,wrong
66,2,wrong
67,0,ok
68,2,wrong
69,2,wrong
70,2,wrong
71,2,wrong
72,0,ok
73,2,wrong
74,2,wrong
75,2,wrong
76,0,ok
77,2,wrong
78,2,wrong
79,2,wrong
80,2,wrong
81,0,ok
82,0,ok
83,0,ok
84,0,ok
85,2,wrong
86,2,wrong
87,2,wrong
88,2,wrong
89,2,wrong
90,2,wrong
91,2,wrong
92,2,wrong
93,2,wrong
94,2,wrong
95,0,ok
96,0,ok
97,2,wrong
98,2,wrong
99,2,wrong
100,0,ok
101,0,ok
102,2,wrong
103,2,wrong
104,2,wrong
105,0,ok
106,0,ok
107,2,wrong
108,2,wrong
109,2,wrong
110,2,wrong
111,2,wrong
112,0,ok
113,0,ok
114,0,ok
115,2,wrong
116,0,ok
117,2,wrong
118,0,ok
119,2,wrong
120,0,ok
121,2,wrong
122,2,wrong
123,2,wrong
124,2,ok
125,0,ok
126,2,wrong
127,2,wrong
128,2,wrong
129,0,ok
130,2,wrong
131,0,ok
132,2,wrong
133,2,ok
134,2,wrong
135,2,ok
136,2,wrong
137,2,wrong
138,2,wrong
139,2,wrong
140,2,wrong
141,0,ok
142,2,wrong
143,0,ok
144,2,wrong
145,2,wrong
146,2,wrong
147,2,wrong
148,2,wrong
149,2,wrong
150,2,wrong
151,0,ok
152,0,ok
153,2,wrong
154,0,ok
155,0,ok
156,2,wrong
157,0,ok
158,0,ok
159,2,wrong
160,2,wrong
161,0,ok
162,0,ok
163,2,wrong
164,0,ok
165,2,wrong
166,2,wrong
167,2,wrong
168,2,wrong
169,2,wrong
170,0,ok
171,2,wrong
172,2,wrong
173,2,wrong
174,2,wrong
175,2,wrong
176,2,wrong
177,0,ok
178,2,wrong
179,2,wrong
180,2,wrong
181,0,ok
182,2,wrong
183,0,ok
184,0,ok
185,0,ok
186,2,wrong
187,2,wrong
188,0,ok
189,2,wrong
190,2,wrong
191,2,wrong
192,0,ok
193,2,wrong
194,0,ok
195,2,wrong
196,2,wrong
197,0,ok
198,2,wrong
199,0,ok
200,2,wrong
201,0,ok
202,2,wrong
203,0,ok
204,2,wrong
205,0,ok
206,0,ok
207,2,wrong
208,2,wrong
209,2,wrong
210,2,wrong
211,2,wrong
212,0,ok
213,2,wrong
214,2,wrong
215,2,wrong
216,0,ok
217,2,wrong
218,2,wrong
219,2,wrong
220,2,wrong
221,2,wrong
222,2,wrong
223,0,ok
224,2,wrong
225,2,wrong
226,0,ok
